team,No of players,90s played,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Monaco,28.33333333,34.66666667,60.66666667,430.6666667,149.3333333,34.76666667,12.51,4.353333333,0.123333333,0.35,17.13333333,18,8.333333333,9.333333333,58.96666667,51.63333333,0.123333333,1.7,0.7
Monchengladbach,24.66666667,34,60.33333333,469,175.3333333,37.4,13.79333333,5.156666667,0.116666667,0.306666667,17.06666667,17,6.333333333,8,61.03333333,54.76666667,0.123333333,-0.7,-0.766666667
Montpellier,26,34.66666667,47,413.3333333,143.6666667,34.56666667,11.96666667,4.13,0.106666667,0.31,18.63333333,29,2.333333333,4.666666667,43.3,39.66666667,0.096666667,3.7,5
Nantes,26.66666667,34.66666667,41,384.6666667,125.6666667,32.7,11.16333333,3.66,0.09,0.283333333,18.73333333,13,5,5.333333333,41.56666667,37.5,0.1,-0.566666667,-1.5
Napoli,25.66666667,38,72.33333333,628.3333333,209.3333333,33.3,16.53333333,5.506666667,0.103333333,0.31,18.43333333,22.33333333,7.333333333,9,62.4,55.26666667,0.09,9.933333333,9.733333333
Newcastle United,28,38,41,411.3333333,134.6666667,32.76666667,10.82333333,3.543333333,0.096666667,0.283333333,18.5,18,3,3.666666667,39,36.16666667,0.09,2,1.833333333
Nice,29.66666667,34.66666667,47.33333333,392.6666667,135.6666667,34.76666667,11.38,3.96,0.103333333,0.3,17.86666667,18,6.666666667,7.333333333,46.43333333,40.86666667,0.106666667,0.9,-0.2
Nimes,30.5,33,34.5,369.5,118,31.85,11.395,3.6,0.085,0.255,19,14.5,4.5,5,36.8,32.85,0.09,-2.3,-2.85
Norwich City,29,38,23,388.5,115,29.55,10.225,3.03,0.055,0.175,18.5,17,2.5,2.5,34.65,32.7,0.085,-11.65,-12.2
Osasuna,29.33333333,38,39.66666667,416,123.3333333,29.66666667,10.94333333,3.246666667,0.076666667,0.27,19.03333333,13.33333333,6.333333333,7.333333333,41.6,36.2,0.09,-1.933333333,-2.866666667
Paderborn 07,27,34,37,427,124,29,12.56,3.65,0.08,0.28,19.7,20,2,4,39.2,36.1,0.09,-2.2,-1.1
Paris Saint Germain,33.33333333,34.33333333,81,517.6666667,196,38.16666667,15.2,5.823333333,0.143333333,0.37,16.73333333,27.66666667,8.333333333,9.666666667,77,69.53333333,0.14,4,3.133333333
Parma,33.5,38,46,425,134,31.55,11.185,3.53,0.1,0.31,18.55,21.5,4.5,5.5,45.45,41.15,0.1,0.55,0.35
